vertex,baseline_x,baseline_y,baseline_z,deformed_x,deformed_y,deformed_z,dx,dy,dz,displacement_norm
159,0.75968003,0.11740292,0.02692034,0.75359531,0.18004911,0.015234,-0.006084727248039989,0.06264618141497558,-0.011686340774957754,0.0640167049469864
160,0.73907773,0.03178661,0.12430969,0.7357114,0.11208999,0.08986507,-0.0033663210775526364,0.08030337405034166,-0.03444462193232922,0.08744367319324685
161,0.70429037,-0.00128592,0.24253562,0.70388139,0.08782039,0.17843449,-0.0004089811932159737,0.08910630599621261,-0.0641011262997864,0.10976818950319008
162,0.65334174,0.01669602,0.39473016,0.65667345,0.10627587,0.29094592,0.003331716445145183,0.089579845890916,-0.10378424005396952,0.1371379510124425
163,0.69388904,0.11743075,0.0385268,0.68168908,0.18208709,0.0173502,-0.012199957742206502,0.06465633855819222,-0.021176603508007513,0.06912112282651776
164,0.66664061,0.05472798,0.11465472,0.65546532,0.13272756,0.07445903,-0.011175289890353879,0.07799957941574659,-0.04019568807025731,0.08845628769402562
165,0.63442971,0.01862928,0.2284659,0.6262013,0.1058421,0.159914,-0.008228406509804054,0.08721281447592705,-0.0685519010911437,0.11123463860557557
166,0.5885553,0.0348401,0.3736849,0.58417568,0.12260039,0.26756931,-0.004379611610918488,0.08776029081920012,-0.10611558449234337,0.13777360746777567
167,0.63400544,0.13760931,0.06673442,0.61745613,0.20069884,0.03268763,-0.016549302191848914,0.06308953129426922,-0.03404678524937582,0.07357548469282976
168,0.60295377,0.08438502,0.14672983,0.58735692,0.15925585,0.09226323,-0.015596851006646872,0.07487083058386326,-0.0544666051523206,0.09389096926999899
169,0.56952979,0.06359043,0.24713186,0.55612552,0.14471518,0.16696762,-0.013404276535599502,0.08112475009493969,-0.0801642424944245,0.11483555843951009
170,0.55037072,0.06348577,0.34901339,0.54090295,0.14671949,0.24402049,-0.009467773456780515,0.08323371910062152,-0.10499290582715032,0.13431679345330927
171,0.5479512,0.09221018,0.44068411,0.5438177,0.17167973,0.31449657,-0.004133500706946069,0.0794695444092548,-0.12618754320890213,0.14918374702965262
172,0.52326404,0.10210598,0.37634743,0.512957,0.1794819,0.26184737,-0.010307040134050927,0.07737592662792708,-0.11450006200190493,0.1385768137037916
173,0.59870318,0.08248522,0.48525335,0.60227661,0.16299064,0.3545368,0.0035734326147098816,0.08050541392023913,-0.13071654207180522,0.1535601037455072
174,0.50345893,0.31287166,0.22080212,0.48406977,0.3500647,0.13610925,-0.01938915896441562,0.037193030861015275,-0.08469286932290138,0.0945100161047593
175,0.48416326,0.34840948,0.25072616,0.46486257,0.38012624,0.15680443,-0.01930069528132644,0.03171675985152117,-0.09392173597369907,0.10099387200288402
176,0.51481458,0.32549485,0.1752418,0.49405986,0.35937897,0.10176968,-0.020754725852295985,0.033884114285607114,-0.07347211916988569,0.0835287025006251
177,0.48666043,0.38955421,0.25439615,0.46821356,0.41376659,0.15933337,-0.01844687721841648,0.024212388853471045,-0.09506278801404933,0.09981713639504543
178,0.50454248,0.45107943,0.23045696,0.48711366,0.46322927,0.14176393,-0.017428826265518893,0.012149845942891702,-0.08869303294139255,0.09120217559780353
179,0.52475489,0.48683111,0.20608526,0.5083176,0.49154056,0.12446603,-0.016437292176929463,0.004709456526278244,-0.08161922661673626,0.08339101695264785
180,0.52512797,0.27654848,0.17433814,0.50492345,0.31903993,0.1028383,-0.020204521069702053,0.04249144609128391,-0.0714998341655261,0.08559189183726608
181,0.58754228,0.15867872,0.11416476,0.56915908,0.2199591,0.06433564,-0.018383194960825855,0.061280380316639044,-0.04982911515612207,0.08109357302500445
182,0.50152906,0.26129486,0.2308333,0.48204122,0.3080834,0.14441734,-0.01948783994495934,0.04678854459418291,-0.08641596109455296,0.10018314300748149
183,0.54920345,0.13199153,0.19256126,0.53118122,0.20039957,0.12153098,-0.018022223681352312,0.06840804679613866,-0.07103027716436683,0.1002484996742104
